trial_id,condition,planner,success,truth_path_available,dynamic_inserted,oracle_state,predicted_state,decision_correct,latency_ms,expansions,path_length,truth_path_length,path_length_ratio,clearance_cells,collisions,perception_precision,perception_recall,perception_f1
38,cluttered_static,dijkstra_navfn_style,0,1,0,SLOW,STOP,0,17.653818,2575,71.053824,71.053824,1.000000,1.000000,1,0.957169,0.951852,0.954503
38,cluttered_static,a_star,1,1,0,SLOW,SLOW,1,1.617253,152,71.053824,71.053824,1.000000,1.000000,0,0.957169,0.951852,0.954503
38,cluttered_static,weighted_a_star,1,1,0,SLOW,SLOW,1,0.611732,59,71.053824,71.053824,1.000000,1.000000,0,0.957169,0.951852,0.954503
39,cluttered_static,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,13.114296,2633,70.468037,70.468037,1.000000,1.000000,0,0.947257,0.939331,0.943277
39,cluttered_static,a_star,1,1,0,SLOW,SLOW,1,0.926711,137,70.468037,70.468037,1.000000,1.000000,0,0.947257,0.939331,0.943277
39,cluttered_static,weighted_a_star,1,1,0,SLOW,SLOW,1,0.438520,56,71.639610,70.468037,1.016626,1.000000,0,0.947257,0.939331,0.943277
40,cluttered_static,dijkstra_navfn_style,0,1,0,SLOW,STOP,0,18.406648,2557,72.811183,72.811183,1.000000,1.000000,1,0.974820,0.949212,0.961846
40,cluttered_static,a_star,0,1,0,SLOW,STOP,0,2.666831,256,72.811183,72.811183,1.000000,1.000000,1,0.974820,0.949212,0.961846
40,cluttered_static,weighted_a_star,1,1,0,SLOW,SLOW,1,0.719961,69,73.982756,72.811183,1.016091,1.000000,0,0.974820,0.949212,0.961846
41,cluttered_static,dijkstra_navfn_style,0,1,0,SLOW,STOP,0,17.112419,2542,72.811183,73.396970,0.992019,1.000000,2,0.966725,0.932432,0.949269
41,cluttered_static,a_star,0,1,0,SLOW,STOP,0,3.116581,364,72.811183,73.396970,0.992019,1.000000,3,0.966725,0.932432,0.949269
41,cluttered_static,weighted_a_star,0,1,0,SLOW,STOP,0,0.675722,71,73.396970,73.396970,1.000000,1.000000,3,0.966725,0.932432,0.949269
42,cluttered_static,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,17.379991,2555,71.639610,71.639610,1.000000,1.000000,0,0.946714,0.962094,0.954342
42,cluttered_static,a_star,1,1,0,SLOW,SLOW,1,2.608792,280,71.639610,71.639610,1.000000,1.000000,0,0.946714,0.962094,0.954342
42,cluttered_static,weighted_a_star,0,1,0,SLOW,STOP,0,0.679017,68,71.639610,71.639610,1.000000,1.000000,1,0.946714,0.962094,0.954342
43,cluttered_static,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,17.939218,2650,71.053824,71.053824,1.000000,1.000000,0,0.971678,0.938947,0.955032
43,cluttered_static,a_star,1,1,0,SLOW,SLOW,1,1.377270,155,71.053824,71.053824,1.000000,1.000000,0,0.971678,0.938947,0.955032
43,cluttered_static,weighted_a_star,1,1,0,SLOW,SLOW,1,0.624166,53,71.053824,71.053824,1.000000,1.000000,0,0.971678,0.938947,0.955032
44,cluttered_static,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,16.859628,2492,71.053824,71.053824,1.000000,1.000000,0,0.967638,0.956800,0.962188
44,cluttered_static,a_star,1,1,0,SLOW,SLOW,1,1.800853,197,71.053824,71.053824,1.000000,1.000000,0,0.967638,0.956800,0.962188
44,cluttered_static,weighted_a_star,1,1,0,SLOW,SLOW,1,0.646488,64,71.639610,71.053824,1.008244,1.000000,0,0.967638,0.956800,0.962188
45,cluttered_static,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,18.098788,2588,70.468037,70.468037,1.000000,1.000000,0,0.961759,0.949057,0.955366
45,cluttered_static,a_star,1,1,0,SLOW,SLOW,1,1.383023,141,70.468037,70.468037,1.000000,1.000000,0,0.961759,0.949057,0.955366
45,cluttered_static,weighted_a_star,1,1,0,SLOW,SLOW,1,0.631251,53,71.053824,70.468037,1.008313,1.000000,0,0.961759,0.949057,0.955366
46,cluttered_static,dijkstra_navfn_style,0,1,0,SLOW,STOP,0,12.970114,2588,70.468037,70.468037,1.000000,1.000000,1,0.955513,0.942748,0.949087
46,cluttered_static,a_star,0,1,0,SLOW,STOP,0,1.343461,118,70.468037,70.468037,1.000000,1.000000,2,0.955513,0.942748,0.949087
46,cluttered_static,weighted_a_star,0,1,0,SLOW,STOP,0,0.456104,52,70.468037,70.468037,1.000000,1.000000,2,0.955513,0.942748,0.949087
